ds,y
2021-08-23,63329
2021-08-24,68975
2021-08-25,76324
2021-08-26,71075
2021-08-27,66676
2021-08-28,76218
2021-08-29,116304
2021-08-30,99764
2021-08-31,89031
2021-09-01,81563
2021-09-02,81905
2021-09-03,69236
2021-09-04,77092
2021-09-05,109702
2021-09-06,81567
2021-09-07,87239
2021-09-08,72990
2021-09-09,64810
2021-09-10,0
2021-09-11,66741
2021-09-12,68972
2021-09-13,59572
2021-09-14,63123
2021-09-15,59139
2021-09-16,60811
2021-09-17,56227
2021-09-18,57061
2021-09-19,79086
2021-09-20,61943
2021-09-21,72678
2021-09-22,75386
2021-09-23,77762
2021-09-24,75283
2021-09-25,109883
2021-09-26,119565
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,71182
2021-10-05,75919
2021-10-06,74636
2021-10-07,62230
2021-10-08,53016
2021-10-09,60721
2021-10-10,0
2021-10-11,94915
2021-10-12,52579
2021-10-13,74457
2021-10-14,65673
2021-10-15,56821
2021-10-16,55332
2021-10-17,82236
2021-10-18,68138
2021-10-19,75392
2021-10-20,68378
2021-10-21,56552
2021-10-22,54151
2021-10-23,57485
2021-10-24,95580
2021-10-25,56916
2021-10-26,60980
2021-10-27,63102
2021-10-28,65265
2021-10-29,57671
2021-10-30,61515
2021-10-31,83805
2021-11-01,55345
2021-11-02,60445
2021-11-03,63654
2021-11-04,67484
2021-11-05,55853
2021-11-06,60368
2021-11-07,74277
2021-11-08,52920
2021-11-09,58839
2021-11-10,90079
2021-11-11,54955
2021-11-12,50234
2021-11-13,53098
2021-11-14,68009
2021-11-15,49572
2021-11-16,52872
2021-11-17,55643
2021-11-18,56650
2021-11-19,65841
2021-11-20,62513
2021-11-21,84568
2021-11-22,82592
2021-11-23,80359
2021-11-24,90487
2021-11-25,135486
2021-11-26,300944
2021-11-27,91990
2021-11-28,122486
2021-11-29,114310
2021-11-30,48654
2021-12-01,51020
2021-12-02,49367
2021-12-03,44077
2021-12-04,65243
2021-12-05,78830
2021-12-06,60721
2021-12-07,65596
2021-12-08,76581
2021-12-09,72721
2021-12-10,55643
2021-12-11,65241
2021-12-12,84977
2021-12-13,49816
2021-12-14,57101
2021-12-15,66278
2021-12-16,63292
2021-12-17,53218
2021-12-18,50968
2021-12-19,59995
2021-12-20,37301
2021-12-21,33710
2021-12-22,29820
2021-12-23,20950
2021-12-24,40747
2021-12-25,49205
2021-12-26,67249
2021-12-27,56964
2021-12-28,60448
2021-12-29,61630
2021-12-30,29965
2021-12-31,38947
2022-01-01,70681
2022-01-02,78353
2022-01-03,56515
2022-01-04,53441
2022-01-05,62836
2022-01-06,66165
2022-01-07,55287
2022-01-08,59479
2022-01-09,75373
